Road,Slot,1TO2,BASELINE,DBSCAN,LIMITE,RANDOM,XMEANS,ERR_DBSCAN,ERR_XMEANS,ERR_1TO2,ERR_RAND,ERR_LIMITE
22959552#1_0,7,0.2638895785513032,0.27254909106053343,0.31007364526719844,0.27254909106053343,0.2444056754055349,0.22564339830220242,True,True,True,True,True
22959552#1_0,8,0.26028999125419067,0.25975834495970684,0.2594545470771446,0.25975834495970684,0.2589077108885326,0.2610342960664682,True,True,True,True,True
22959552#1_0,9,0.29300543489577907,0.2930054348957792,0.0,0.2930054348957792,0.29300543489577907,0.29300543489577907,False,True,True,True,True
22959552#1_0,10,0.31526560189909,0.31526560189909,0.31526560189909003,0.31526560189909,0.31526560189909,0.31526560189909003,True,True,True,True,True
22959552#1_0,11,0.24159655116237194,0.24317254232347,0.24093988817858106,0.24317254232347,0.24317254232346996,0.24189673995496203,True,True,True,True,True
22959552#1_0,12,0.3089248901567998,0.3089248901567997,0.3089248901567998,0.3089248901567997,0.3089248901567998,0.3089248901567998,True,True,True,True,True
22959552#1_0,13,0.37779293255315155,0.37779293255315155,0.3777929325531516,0.37779293255315155,0.3777929325531516,0.3777929325531516,True,True,True,True,True
22959552#1_0,14,0.44013885103967393,0.4409840076629949,0.44233586936562597,0.4409840076629949,0.44204618471506213,0.4459408339059756,True,True,True,True,True
22959552#1_0,15,0.514376965204173,0.514376965204173,0.514376965204173,0.514376965204173,0.514376965204173,0.0,True,False,True,True,True
22959552#1_0,16,0.6119175186889616,0.6178955916956455,0.6192725360764634,0.6178955916956455,0.6163287174895364,0.6314140099535639,True,True,True,True,True
22959552#1_0,17,0.748947726436638,0.7550845428232302,0.7641000145763489,0.726034660475189,0.748210623034796,0.7603119425414211,True,True,True,True,True
22959552#1_0,18,0.7839136839036559,0.7766358047185729,0.7767483349324602,0.7310262790746102,0.7808917453244131,0.784019476244556,True,True,True,True,True
22959552#2_0,1,0.46085224878078146,0.4580544238621185,0.45236405141275987,0.4580544238621185,0.45469193105113387,0.4580544238621186,True,True,True,True,True
22959552#2_0,2,0.3559360023361992,0.3656580100480999,0.35993348714948786,0.3656580100480999,0.3474736975901532,0.3498973628240893,True,True,True,True,True
22959552#2_0,3,0.2635987182317486,0.2635987182317485,0.2625363758604773,0.2635987182317485,0.2646610606030198,0.26536928885053396,True,True,True,True,True
22959552#2_0,4,0.19739632461650644,0.2576447842869662,0.2801610238090459,0.2576447842869662,0.25292416523074596,0.23179333828379525,True,True,True,True,True
22959552#2_0,5,0.15093891531365192,0.15093891531365192,0.15830127797735724,0.15093891531365192,0.14968396713233853,0.13713448531920455,True,True,True,True,True
22959552#2_0,6,0.11960048434249171,0.15359142633511957,0.1372749714010477,0.15359142633511957,0.15334451140339517,0.14968206661716207,True,True,True,True,True
22959552#2_0,7,0.05878004562452756,0.05878004562452758,0.05809484148487103,0.05878004562452758,0.05680138126402205,0.05491065754176122,True,True,True,True,True
22959552#2_0,8,0.23198934981703362,0.19884801412888597,0.2237040158949967,0.19884801412888597,0.19884801412888595,0.24856001766110747,True,True,True,True,True
22959552#2_0,9,0.0,0.10459188793224557,0.1091993110978802,0.10459188793224557,0.09629852623410336,0.11051571771663293,True,True,False,True,True
22959552#2_0,10,0.19893431272201814,0.19893431272201811,0.23582778230860593,0.19893431272201811,0.19893431272201811,0.2053966724868043,True,True,True,True,True
22959552#2_0,11,0.2187301396164061,0.2362797501577682,0.21851773804028607,0.2362797501577682,0.23074916132896744,0.23308891187752048,True,True,True,True,True
22959552#2_0,12,0.34664397147463566,0.3915230029234486,0.39152300292344844,0.3915230029234486,0.3752033551238801,0.39152300292344844,True,True,True,True,True
