Cut,Slot,Id,Road,PosX,PosY,STime,Timer,Velo,QtdBcn,Media,Classe,Descricao,Clusteres,ClusterLOS,RoadTag
2,2,23,23840888#1_0,218.984,517.444,33.360221132901,1594162031.0501943,7.72552,1,6.491396666666667,0.15974631265381925,Free-flow,12,0.0,23
3,2,23,23840888#1_0,218.984,517.444,33.560217422615,1594162032.6845405,7.72552,1,6.7999275,0.11980973449036446,Free-flow,13,0.0,23
4,2,23,23840888#1_0,218.984,517.444,33.760213712329,1594162034.168086,7.72552,1,6.985046,0.09584778759229161,Free-flow,13,0.0,23
1,3,25,23840888#1_0,218.716,510.516,27.027897135445,1594161987.1947267,4.69726,1,4.69726,0.3919813811885802,Stable-flow,10,0.0,23
2,3,25,23840888#1_0,218.716,510.516,27.327897016504,1594161988.9903169,4.69726,1,4.69726,0.3919813811885802,Stable-flow,10,0.0,23
3,3,25,23840888#1_0,218.716,510.516,27.627896897563,1594161990.647854,4.69726,1,4.69726,0.3919813811885802,Stable-flow,10,0.0,23
0,3,23,23840888#1_0,218.744,511.227,34.160213784878,1594162037.4131112,5.06895,1,5.06895,0.34386940943781136,Stable-flow,13,0.0,23
1,3,23,23840888#1_0,218.744,511.227,34.260212825448,1594162038.3095603,5.06895,1,5.06895,0.34386940943781136,Stable-flow,13,0.0,23
0,3,23,23840888#1_0,218.744,511.227,34.860220068868,1594162043.2290857,5.06895,1,5.06895,0.34386940943781136,Stable-flow,11,0.0,23
1,4,25,23840888#1_0,218.564,506.562,28.027896656457,1594161993.1322286,4.46016,1,4.46016,0.42267187192577327,Stable-flow,8,0.0,23
2,4,25,23840888#1_0,218.564,506.562,28.227896435747,1594161994.7209244,4.46016,1,4.46016,0.42267187192577327,Stable-flow,8,0.0,23
3,4,25,23840888#1_0,218.564,506.562,28.327896325392,1594161995.6552618,4.46016,1,4.46016,0.42267187192577327,Stable-flow,8,0.0,23
0,4,25,23840888#1_0,218.564,506.562,28.927895663262,1594161999.575013,4.46016,1,4.46016,0.42267187192577327,Stable-flow,8,0.0,23
1,4,23,23840888#1_0,218.598,507.45,35.06021828863,1594162044.8401694,2.93416,1,3.6971600000000002,0.5214354502997857,Approaching unstable-flow,11,0.0,23
2,4,23,23840888#1_0,218.598,507.45,35.160217663873,1594162045.7058191,2.93416,1,3.442826666666667,0.5543566430911231,Approaching unstable-flow,11,0.0,23
